Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
100 Diagrams That Changed The World,,,,,Scott Christianson,"Christianson, Scott",,,,,,Pavilion Books,,2014/09/25,2014,,,,Technology & Engineering,"100 Diagrams That Changed The World is a fascinating collection of the most significant plans, sketches, drawings and illustrations that have changed the way we think about the world. From primitive cave paintings to the complicated DNA double helix drawn by Crick and Watson, they chart dramatic breakthroughs in our understanding of the world and its history. This fascinating book encompasses everything from the triple spirals found on prehistoric megalithic tombs dating right up to the drawings sent out on the side of space exploration probes. Discover Leonardo da Vinci's beautiful technical drawings, pre-empting the invention of manned flight, Copernicus's bold diagrams that dared to tell us that Earth was not at the centre of the Universe, as well as the history of the more everyday diagrams that we now take for granted. Every diagram is clearly illustrated and placed into context with very accessible text even for the lay reader. Diagrams include: Egyptian Book of the Dead, Chauvet cave drawings, Aztec Calendar, sheet music, Vitruvian Man, Galileo's telescope, Hooke's Micrographia, the Porphyrian Tree, Dunhuang Star Map, Newcomen's steam engine, the Morse Code, Brooks Slave Ship, William Playfair's bar chart, Thomas Edison's light bulb, Nazi propaganda map, sewing patterns, Feynman Diagrams, the DNA double helix, IKEA flat-pack furniture instructions, the World Wide Web schematic, Carl Sagan's Pioneer Plaque.",,,,,,,,,,,224,,,,,,English,,,,,,9781849940764,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:30:12.624493002,,,,,,,SNWqMwEACAAJ,U,0,,
3 AM Epiphany,,,,,Brian Kiteley,"Kiteley, Brian",,,,,,F+W Media,,2005/08/05,2005,,,,Reference,"Discover Just How Good Your Writing Can Be If you write, you know what it's like. Insight and creativity - the desire to push the boundaries of your writing - strike when you least expect it. And you're often in no position to act: in the shower, driving the kids to school...in the middle of the night. The 3 A.M. Epiphany offers more than 200 intriguing writing exercises designed to help you think, write, and revise like never before - without having to wait for creative inspiration. Brian Kiteley, noted author and director of the University of Denver's creative writing program, has crafted and refined these exercises through 15 years of teaching experience. You'll learn how to: Transform staid and stale writing patterns into exciting experiments in fiction Shed the anxieties that keep you from reaching your full potential as a writer Craft unique ideas by combining personal experience with unrestricted imagination Examine and overcome all of your fiction writing concerns, from getting started to writer's block Open the book, select an exercise, and give it a try. It's just what you need to craft refreshing new fiction, discover bold new insights, and explore what it means to be a writer. It's never too early to start--not even 3 A.M.",,,,,,,,,,,272,,,,,,English,,,,,,9781582973517,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 16:46:57.609534025,,,,,,,pNUhmAEACAAJ,G,0,,
50 Secrets of Magic Craftsmanship,,,,,"Salvador Dali, Haakon Chevalier","Dali, Salvador",,,,,,Courier Corporation,,1992/01/01,1992,,,,Art,"For many, Salvador Dalí (1904–1989) represents the Surrealist painter par excellence, one whose work explored his own dream life, hallucinations, and fetishes in the process of objectifying the irrational elements of the unconscious. In this rare and important volume, the painter expresses (in his inimitably eccentric fashion) his ideas of what painting should be, expounds on what is good and bad painting, offers opinions on the merits of Vermeer, Picasso, Cézanne, and other artists, and expresses his thoughts on the history of painting. In a blend of outrageous egotism and unconventional humor, Dalí presents 50 ""secrets"" for mastering the art of painting: ""the secret of sleeping while awake,"" ""the secret of the periods of carnal abstinence and indulgence to be observed by the painter,"" ""the secret of the painter's pointed mustaches,"" ""the secret of learning to paint before knowing how to draw,"" ""the secret of the painter's marriage,"" ""the secret of the reason why a great draughtsman should draw while completely naked,"" and many other Daliesque prescriptions for artistic success. Illustrated with the artist's own drawings, this volume is a fascinating mixture of serious artistic advice, lively personal anecdotes, and academic craftsmanship. It is, according to the San Francisco Chronicle, ""in lay-out and clarity of design . . . a remarkable work of art in itself."" Especially esteemed for its insights into modern art, 50 Secrets of Magic Craftsmanship is indispensable reading for any student of Surrealism or 20th century painting.",,,,,,,,,,,192,,,,,,English,,,,,,9780486271323,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 23:47:25.434370994,,,,,,,0g6QlUiqwfcC,C,0,,
A Brief History of Time,,,,,Stephen Hawking,"Hawking, Stephen",,,,,,Bantam Books,,,1998,,,,Science,"#1 NEW YORK TIMES BESTSELLERA landmark volume in science writing by one of the great minds of our time, Stephen Hawking's book explores such profound questions as: How did the universe begin—and what made its start possible? Does time always flow forward? Is the universe unending—or are there boundaries? Are there other dimensions in space? What will happen when it all ends?Told in language we all can understand, A Brief History of Time plunges into the exotic realms of black holes and quarks, of antimatter and “arrows of time,” of the big bang and a bigger God—where the possibilities are wondrous and unexpected. With exciting images and profound imagination, Stephen Hawking brings us closer to the ultimate secrets at the very heart of creation.",,,,,,,,,,,212,,,,,,English,,,,,,9780553380163,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 19:52:25.741233944,,,,,,,3UZuAAAAQBAJ,L,0,,
A Clockwork Orange,,,,,Anthony Burgess,"Burgess, Anthony",,,,,,Penguin Books Limited,,,2000,,,,Fiction,"Fully restored edition of Anthony Burgess' original text of A Clockwork Orange, with a glossary of the teen slang 'Nadsat', explanatory notes, pages from the original typescript, interviews, articles and reviews Edited by Andrew Biswell With a Foreword by Martin Amis 'It is a horrorshow story ...' Fifteen-year-old Alex likes lashings of ultraviolence. He and his gang of friends rob, kill and rape their way through a nightmarish future, until the State puts a stop to his riotous excesses. But what will his re-education mean? A dystopian horror, a black comedy, an exploration of choice, A Clockwork Orange is also a work of exuberant invention which created a new language for its characters. This critical edition restores the text of the novel as Anthony Burgess originally wrote it, and includes a glossary of the teen slang 'Nadsat', explanatory notes, pages from the original typescript, interviews, articles and reviews, shedding light on the enduring fascination of the novel's 'sweet and juicy criminality'. Anthony Burgess was born in Manchester in 1917 and educated at Xaverian College and Manchester University. He spent six years in the British Army before becoming a schoolmaster and colonial education officer in Malaya and Brunei. After the success of his Malayan Trilogy, he became a full-time writer in 1959. His books have been published all over the world, and they include The Complete Enderby, Nothing Like the Sun, Napoleon Symphony, Tremor of Intent, Earthly Powers and A Dead Man in Deptford. Anthony Burgess died in London in 1993. Andrew Biswell is the Professor of Modern Literature at Manchester Metropolitan University and the Director of the International Anthony Burgess Foundation. His publications include a biography, The Real Life of Anthony Burgess, which won the Portico Prize in 2006. He is currently editing the letters and short stories of Anthony Burgess.",,,,,,,,,,,140,,,,,,English,,,,,,9780141182605,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 09:31:29.356668949,,,,,,,xdxFg5dmdcAC,Q,0,,
A Concise History of Mathematics,,,,,Dirk Jan Struik,"Struik, Dirk Jan",,,,,,Courier Corporation,,,1967,,,,Mathematics,"This compact, well-written history — first published in 1948, and now in its fourth revised edition — describes the main trends in the development of all fields of mathematics from the first available records to the middle of the 20th century. Students, researchers, historians, specialists — in short, everyone with an interest in mathematics — will find it engrossing and stimulating. Beginning with the ancient Near East, the author traces the ideas and techniques developed in Egypt, Babylonia, China, and Arabia, looking into such manuscripts as the Egyptian Papyrus Rhind, the Ten Classics of China, and the Siddhantas of India. He considers Greek and Roman developments from their beginnings in Ionian rationalism to the fall of Constantinople; covers medieval European ideas and Renaissance trends; analyzes 17th- and 18th-century contributions; and offers an illuminating exposition of 19th century concepts. Every important figure in mathematical history is dealt with — Euclid, Archimedes, Diophantus, Omar Khayyam, Boethius, Fermat, Pascal, Newton, Leibniz, Fourier, Gauss, Riemann, Cantor, and many others. For this latest edition, Dr. Struik has both revised and updated the existing text, and also added a new chapter on the mathematics of the first half of the 20th century. Concise coverage is given to set theory, the influence of relativity and quantum theory, tensor calculus, the Lebesgue integral, the calculus of variations, and other important ideas and concepts. The book concludes with the beginnings of the computer era and the seminal work of von Neumann, Turing, Wiener, and others. ""The author's ability as a first-class historian as well as an able mathematician has enabled him to produce a work which is unquestionably one of the best."" — Nature Magazine.",,,,,,,,,,,228,,,,,,English,,,,,,9780486602554,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 21:01:52.910953044,,,,,,,ECkXB-T2mwIC,B,0,,
A general history of the pyrates,,"From their first rise and settlement in the island of Providence, to the present time",,,Daniel Defoe,"Defoe, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,305,,,,,,,,,,,,9781545536889,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:56:52.404011011,,,,,,,,X,0,http://images.amazon.com/images/P/1545536880.01Z.jpg,
A Guide To Successful Magazine Writing,,Society Of Magazine Writers,,,Clive Howard,"Howard, Clive",,,,,,"Literary Licensing, LLC",,2012/05/12,2012,,,,,"Contributing Authors Dickson Hartwell, Donald Robinson, Jack Harrison And Others.",,,,,,,,,,,528,,,,,,English,,,,,,9781258340186,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 15:36:52.776406049,,,,,,,LnApLwEACAAJ,F,0,,
A Guide to the Good Life,,The Ancient Art of Stoic Joy,,,William B Irvine,"Irvine, William B",,,,,,OUP USA,,2009/02/05,2009,,,,Philosophy,"One of the great fears many of us face is that despite all our effort and striving, we will discover at the end that we have wasted our life. In A Guide to the Good Life, William B. Irvine plumbs the wisdom of Stoic philosophy, one of the most popular and successful schools of thought in ancient Rome, and shows how its insight and advice are still remarkably applicable to modern lives. In A Guide to the Good Life, Irvine offers a refreshing presentation of Stoicism, showing how this ancient philosophy can still direct us toward a better life. Using the psychological insights and the practical techniques of the Stoics, Irvine offers a roadmap for anyone seeking to avoid the feelings of chronic dissatisfaction that plague so many of us. Irvine looks at various Stoic techniques for attaining tranquility and shows how to put these techniques to work in our own life. As he does so, he describes his own experiences practicing Stoicism and offers valuable first-hand advice for anyone wishing to live better by following in the footsteps of these ancient philosophers. Readers learn how to minimize worry, how to let go of the past and focus our efforts on the things we can control, and how to deal with insults, grief, old age, and the distracting temptations of fame and fortune. We learn from Marcus Aurelius the importance of prizing only things of true value, and from Epictetus we learn how to be more content with what we have. Finally, A Guide to the Good Life shows readers how to become thoughtful observers of their own life. If we watch ourselves as we go about our daily business and later reflect on what we saw, we can better identify the sources of distress and eventually avoid that pain in our life. By doing this, the Stoics thought, we can hope to attain a truly joyful life.",,,,,,,,,,,328,,,,,,English,,,,,,9780195374612,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 19:52:25.706166982,,,,,,,zDq5wAEACAAJ,L,0,,
A Joseph Campbell companion,,reflections on the art of living,,,Joseph Campbell,"Campbell, Joseph",,,,,,HarperPerennial,,,1991,,,,Philosophy and religion,"""The privilege of a lifetime is being who you are""—Joseph Campbell One of Joseph Campbell's most popular, most quoted works, A Joseph Campbell Companion: Reflections on the Art of Living is a treasure trove of insight and inspiration, thought-provoking in its depth, poetically breath-taking in its scope. Drawn from a month-long workshop at the world-famous Esalen Institute held in celebration of the scholar's eightieth birthday, the Companion captures Campbell at his best: wise, funny, intelligent and inspiring.",,,,,,,,,,,311,,,,,,,,,,,,9780060926175,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 17:13:19.525835037,,,,,,,,H,0,https://is3-ssl.mzstatic.com/image/thumb/Publication/v4/df/59/56/df595605-d791-3fb2-41fe-c1567a98bfd3/source/512x512bb.jpg,
